participant,condition,file,taskId,T_task_sec,N_cmds,N_actuations,n_devices_final,n_colors_required
10,P+SR,2_A.json,eee4a904-a6ad-4369-970f-b656e1f59f12,24.0876369,1,2,2,2
10,Pointing,3_D.json,40573e58-0087-4bb3-9ed7-d18a24a35b78,40.41314,3,18,9,3
10,Pointing,3_D.json,bee10050-f98c-456a-a684-4435ee88ef00,29.69144,3,6,3,3
10,Pointing,3_D.json,b1e13b56-4030-40b3-a8c7-fbc4554e6c18,18.0844841,2,6,4,2
10,Pointing,3_D.json,2d0b42ad-6703-463c-81b3-4ee4d0c8b347,14.070364,1,1,1,1
10,Pointing,3_D.json,ae59cd40-20ff-4809-8cbb-87c7cc41665c,28.3444977,2,6,4,2
10,Pointing,3_D.json,fdf65cab-a9a0-4e5f-ac35-c3cff2196644,15.5318642,1,4,4,1
10,Pointing,3_D.json,c78550a2-290e-4b94-98db-961c2110c668,22.759407,2,6,4,2
10,Pointing,3_D.json,7aeefa77-f398-4a26-b615-e50c4d05ba64,27.6603947,2,3,2,2
10,Pointing,3_D.json,09ff7f59-f6d6-4c54-9955-f1b4bfd11225,14.6964579,1,3,3,1
10,Pointing,3_D.json,2e919b0d-6d84-4641-a535-930a7ca6c8b7,26.0927029,3,6,3,3
10,Pointing,3_D.json,79dc7e7b-d1c7-4237-908d-f541b20406d4,21.0893536,2,2,1,1
10,Pointing,3_D.json,5dde3eac-8ee6-4821-99d4-f6e4ae5f7bd2,29.7057514,2,3,2,2
10,Label,4_B.json,25c3ccdb-26c7-4109-bcfe-730434f9caa9,22.90212,1,2,2,1
10,Label,4_B.json,386be10f-0686-4118-928d-b57f06593b2f,52.5091,3,9,3,2
10,Label,4_B.json,4fd86244-384f-4a69-adc8-6fd13c16422c,50.3995056,2,5,3,3
10,Label,4_B.json,1a84f2f7-1739-41af-94ae-9a3c6677e61d,25.40648,1,3,3,2
10,Label,4_B.json,4f145d76-f69f-4547-90a7-56281733ca5b,50.9055748,2,4,2,2
10,Label,4_B.json,fcee09b7-efa4-4e87-956e-553ee7bb3648,26.2481251,1,2,2,1
10,Label,4_B.json,b3a3afee-32b8-4986-b9e8-16227e2c7bd9,22.28995,1,1,1,1
10,Label,4_B.json,19e8d0a8-02bf-4644-9732-e4190e13825e,34.9136,2,6,4,2
10,Label,4_B.json,cd873fbb-fcc1-43bd-8f04-bb3b2d716af4,34.382473,2,9,6,2
10,Label,4_B.json,95479aa7-9c98-49e4-817e-727302518dae,14.8778629,1,3,3,1
10,Label,4_B.json,2a7b8c63-3775-4bbf-8841-7976b4ccf32f,32.2311134,2,6,4,2
10,Label,4_B.json,9e93766e-b621-4d6e-9927-173ac982bf3a,14.0510159,1,2,2,2
10,SR,1_C.json,04f5e376-2845-485a-8cb1-c38e3858ff8a,62.18814,2,6,4,2
10,SR,1_C.json,3d9e0045-08fb-4a50-b4e5-e4b24c3554c9,63.45165,1,2,2,1
10,SR,1_C.json,fd995852-c28d-49e9-97b5-9774af3241c3,104.7255,4,14,6,3
10,SR,1_C.json,b594ae95-d981-4868-ae48-3f63eb87087a,41.00517,2,6,4,2
10,SR,1_C.json,e0153245-d5d9-449a-87f1-2a35d3239eef,82.07072,4,17,6,2
10,SR,1_C.json,e81806f6-a4f2-4336-b77b-3407e101bc18,85.3875351,6,12,3,2
10,SR,1_C.json,3bc363f5-3c91-4c51-8139-93034b21f3a9,55.9377823,3,4,1,1
10,SR,1_C.json,7612d934-759d-4a55-9a58-ef65940b7162,177.497955,8,26,5,3
