participant,condition,taskId,T_task_sec,logT_task,N_cmds,N_actuations,n_devices_final,n_colors_required,avg_cmd_time
10,P+SR,2369c5c0-c4bb-4308-a9cd-05a64a69f91a,37.3018036,3.619041679368158,1,6,6,2,37.3018036
10,P+SR,e2dc0c9a-3e6f-40a4-b8c5-7289c1efe296,10.8414,2.3833721389637033,1,1,1,1,10.8414
10,P+SR,7cbd6f03-54a0-426f-b4ea-d8e0ce58e276,14.2941618,2.659851188168451,1,2,2,1,14.2941618
10,P+SR,0ebd3226-6abe-4b54-8d2f-6c4c8adc1978,15.6493149,2.750427139670122,1,2,2,2,15.6493149
10,P+SR,137e922c-0877-46af-a797-5a32df2edf5d,138.842117,4.933337438644553,4,9,3,3,34.71052925
10,P+SR,f548cabb-2a47-4399-a702-f76d5d1336df,17.7508488,2.8764333344964084,1,2,2,1,17.7508488
10,P+SR,81c1a60b-c8ac-4a16-b831-1df68863e61e,32.89805,3.4934133854980423,1,3,3,2,32.89805
10,P+SR,c87d383c-41db-4303-8615-9271bbf2465e,53.6768456,3.982981727896573,1,2,2,2,53.6768456
10,P+SR,eee4a904-a6ad-4369-970f-b656e1f59f12,24.0876369,3.1816987171701046,1,2,2,2,24.0876369
10,Pointing,40573e58-0087-4bb3-9ed7-d18a24a35b78,40.41314,3.6991549796103467,3,18,9,3,13.471046666666666
10,Pointing,bee10050-f98c-456a-a684-4435ee88ef00,29.69144,3.3908587887783725,3,6,3,3,9.897146666666666
10,Pointing,b1e13b56-4030-40b3-a8c7-fbc4554e6c18,18.0844841,2.8950543385940795,2,6,4,2,9.04224205
10,Pointing,2d0b42ad-6703-463c-81b3-4ee4d0c8b347,14.070364,2.6440707414384246,1,1,1,1,14.070364
10,Pointing,ae59cd40-20ff-4809-8cbb-87c7cc41665c,28.3444977,3.3444329266808124,2,6,4,2,14.17224885
10,Pointing,fdf65cab-a9a0-4e5f-ac35-c3cff2196644,15.5318642,2.7428936685914356,1,4,4,1,15.5318642
10,Pointing,c78550a2-290e-4b94-98db-961c2110c668,22.759407,3.1249785544371598,2,6,4,2,11.3797035
10,Pointing,7aeefa77-f398-4a26-b615-e50c4d05ba64,27.6603947,3.320001595838344,2,3,2,2,13.83019735
10,Pointing,09ff7f59-f6d6-4c54-9955-f1b4bfd11225,14.6964579,2.6876065055656886,1,3,3,1,14.6964579
10,Pointing,2e919b0d-6d84-4641-a535-930a7ca6c8b7,26.0927029,3.26165569286273,3,6,3,3,8.697567633333334
10,Pointing,79dc7e7b-d1c7-4237-908d-f541b20406d4,21.0893536,3.0487683444240092,2,2,1,1,10.5446768
10,Pointing,5dde3eac-8ee6-4821-99d4-f6e4ae5f7bd2,29.7057514,3.3913406768925953,2,3,2,2,14.8528757
10,SR,04f5e376-2845-485a-8cb1-c38e3858ff8a,62.18814,4.130164306323141,2,6,4,2,31.09407
10,SR,3d9e0045-08fb-4a50-b4e5-e4b24c3554c9,63.45165,4.150278198550412,1,2,2,1,63.45165
10,SR,fd995852-c28d-49e9-97b5-9774af3241c3,104.7255,4.651342641230868,4,14,6,3,26.181375
10,SR,b594ae95-d981-4868-ae48-3f63eb87087a,41.00517,3.713698156315654,2,6,4,2,20.502585
10,SR,e0153245-d5d9-449a-87f1-2a35d3239eef,82.07072,4.4075813146017975,4,17,6,2,20.51768
10,SR,e81806f6-a4f2-4336-b77b-3407e101bc18,85.3875351,4.447200131125077,6,12,3,2,14.231255849999998
10,SR,3bc363f5-3c91-4c51-8139-93034b21f3a9,55.9377823,4.02424004272625,3,4,1,1,18.645927433333334
10,SR,7612d934-759d-4a55-9a58-ef65940b7162,177.497955,5.178959087722341,8,26,5,3,22.187244375
10,SR,b0e9f035-c92f-4dc6-bd0a-a10b2941f902,14.883955,2.700283787098994,1,1,1,1,14.883955
10,SR,1ff814e6-7f85-4e81-ad9f-9aababb20e6d,70.89931,4.2612607014738,3,8,4,2,23.633103333333334
10,SR,ff4748e2-cd97-45bb-bf2c-e5c9c33f78ac,68.0083847,4.2196310019865075,3,6,3,1,22.669461566666666
10,SR,4e23551b-4fd6-49d6-bc2b-c11836bf2a24,34.3222542,3.535793954280987,2,3,2,2,17.1611271
10,P+SR,fe0ef0b0-c647-4b3a-b2f6-68a75133a566,10.0790071,2.3104547558074566,1,1,1,1,10.0790071
10,P+SR,d58fe3c1-28a0-4e49-9e2f-e72569f6e61e,43.500927,3.772782248212404,3,9,4,3,14.500309
10,P+SR,8aeed698-e7ee-41ef-bfe7-56f37e2232ab,26.4523144,3.2753436554215036,1,3,3,3,26.4523144
10,P+SR,2369c5c0-c4bb-4308-a9cd-05a64a69f91a,37.3018036,3.619041679368158,1,6,6,2,37.3018036
10,P+SR,e2dc0c9a-3e6f-40a4-b8c5-7289c1efe296,10.8414,2.3833721389637033,1,1,1,1,10.8414
10,P+SR,7cbd6f03-54a0-426f-b4ea-d8e0ce58e276,14.2941618,2.659851188168451,1,2,2,1,14.2941618
10,P+SR,0ebd3226-6abe-4b54-8d2f-6c4c8adc1978,15.6493149,2.750427139670122,1,2,2,2,15.6493149
10,P+SR,137e922c-0877-46af-a797-5a32df2edf5d,138.842117,4.933337438644553,4,9,3,3,34.71052925
10,P+SR,f548cabb-2a47-4399-a702-f76d5d1336df,17.7508488,2.8764333344964084,1,2,2,1,17.7508488
10,P+SR,81c1a60b-c8ac-4a16-b831-1df68863e61e,32.89805,3.4934133854980423,1,3,3,2,32.89805
10,P+SR,c87d383c-41db-4303-8615-9271bbf2465e,53.6768456,3.982981727896573,1,2,2,2,53.6768456
