row_id,participant,condition,SUS,NASA_Mental,NASA_Physical,NASA_Temporal,NASA_Performance,NASA_Effort,NASA_Frustration,NASA_Overall,TAM_PEOU,TAM_PU,TAM,TPA
39,P18,Pointing,85.0,1.0,10.0,1.0,21.0,10.0,5.0,8.0,6.166666666666667,3.8333333333333335,5.0,7.0
40,P18,Label,42.5,15.0,7.0,5.0,21.0,21.0,10.0,13.166666666666666,2.3333333333333335,2.0,2.1666666666666665,4.333333333333333
41,P19,SR,35.0,15.0,15.0,1.0,7.0,7.0,15.0,10.0,1.6666666666666667,1.0,1.3333333333333333,3.5833333333333335
42,P19,P+SR,75.0,1.0,3.0,1.0,15.0,3.0,3.0,4.333333333333333,6.333333333333333,7.0,6.666666666666667,5.833333333333333
43,P19,Pointing,60.0,5.0,3.0,2.0,15.0,5.0,7.0,6.166666666666667,5.333333333333333,5.0,5.166666666666667,4.75
44,P19,Label,42.5,7.0,1.0,1.0,11.0,5.0,3.0,4.666666666666667,2.8333333333333335,2.3333333333333335,2.5833333333333335,4.25
45,P2,SR,32.5,21.0,18.0,6.0,10.0,21.0,10.0,14.333333333333334,3.1666666666666665,3.8333333333333335,3.5,3.6666666666666665
46,P2,P+SR,100.0,2.0,2.0,1.0,19.0,9.0,1.0,5.666666666666667,7.0,7.0,7.0,7.0
47,P2,Pointing,100.0,4.0,4.0,2.0,21.0,10.0,1.0,7.0,7.0,7.0,7.0,7.0
48,P2,Label,60.0,15.0,7.0,6.0,21.0,18.0,7.0,12.333333333333334,4.166666666666667,3.3333333333333335,3.75,5.833333333333333
49,P20,SR,85.0,8.0,11.0,2.0,13.0,5.0,6.0,7.5,6.5,6.166666666666667,6.333333333333333,5.916666666666667
50,P20,P+SR,95.0,3.0,13.0,3.0,15.0,2.0,2.0,6.333333333333333,6.0,5.333333333333333,5.666666666666667,6.25
51,P20,Pointing,57.5,13.0,17.0,7.0,18.0,3.0,12.0,11.666666666666666,4.5,1.8333333333333333,3.1666666666666665,5.75
52,P20,Label,17.5,18.0,15.0,13.0,12.0,17.0,20.0,15.833333333333334,2.8333333333333335,2.0,2.4166666666666665,3.5833333333333335
53,P21,SR,60.0,16.0,18.0,4.0,13.0,3.0,15.0,11.5,4.666666666666667,4.833333333333333,4.75,3.1666666666666665
54,P21,P+SR,57.5,7.0,19.0,6.0,19.0,10.0,10.0,11.833333333333334,6.0,6.0,6.0,5.916666666666667
55,P21,Pointing,72.5,15.0,7.0,4.0,13.0,7.0,4.0,8.333333333333334,5.0,5.333333333333333,5.166666666666667,6.75
56,P21,Label,70.0,2.0,2.0,1.0,16.0,17.0,10.0,8.0,5.5,6.0,5.75,6.916666666666667
57,P22,SR,32.5,16.0,17.0,10.0,9.0,18.0,17.0,14.5,2.5,2.8333333333333335,2.6666666666666665,3.6666666666666665
58,P22,P+SR,40.0,9.0,15.0,6.0,14.0,16.0,14.0,12.333333333333334,3.3333333333333335,3.6666666666666665,3.5,4.083333333333333
59,P22,Pointing,65.0,3.0,14.0,10.0,18.0,11.0,10.0,11.0,5.166666666666667,4.0,4.583333333333333,5.166666666666667
60,P22,Label,32.5,15.0,14.0,11.0,14.0,16.0,16.0,14.333333333333334,2.0,3.5,2.75,4.666666666666667
61,P23,SR,42.5,15.0,15.0,12.0,12.0,17.0,15.0,14.333333333333334,3.3333333333333335,3.1666666666666665,3.25,3.0833333333333335
62,P23,P+SR,77.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0
63,P23,Pointing,85.0,3.0,3.0,3.0,20.0,5.0,3.0,6.166666666666667,7.0,6.0,6.5,5.916666666666667
64,P23,Label,40.0,15.0,10.0,5.0,10.0,12.0,12.0,10.666666666666666,3.0,4.833333333333333,3.9166666666666665,3.0833333333333335
65,P24,SR,60.0,6.0,10.0,8.0,4.0,16.0,7.0,8.5,5.0,4.666666666666667,4.833333333333333,6.0
66,P24,P+SR,72.5,7.0,5.0,12.0,14.0,10.0,6.0,9.0,5.666666666666667,6.333333333333333,6.0,4.916666666666667
67,P24,Pointing,57.5,11.0,10.0,7.0,10.0,14.0,11.0,10.5,6.0,6.166666666666667,6.083333333333333,6.25
68,P24,Label,42.5,10.0,17.0,6.0,6.0,11.0,8.0,9.666666666666666,4.333333333333333,5.833333333333333,5.083333333333333,5.166666666666667
69,P3,SR,55.0,14.0,13.0,4.0,9.0,16.0,6.0,10.333333333333334,4.333333333333333,5.0,4.666666666666667,3.6666666666666665
70,P3,P+SR,72.5,3.0,3.0,1.0,20.0,5.0,2.0,5.666666666666667,5.833333333333333,4.666666666666667,5.25,5.666666666666667
