,SR,P+SR,Pointing,Label
SR,1.0,9.094110556051582e-06,0.0008290735179845576,0.9995003849920175
P+SR,9.094110556051582e-06,1.0,0.7457723543693915,1.578308846372778e-05
Pointing,0.0008290735179845576,0.7457723543693915,1.0,0.0012850013851058995
Label,0.9995003849920175,1.578308846372778e-05,0.0012850013851058995,1.0
