,SR,P+SR,Pointing,Label
SR,1.0,0.0006627475992330156,2.9095194001849123e-06,0.958360637874465
P+SR,0.0006627475992330156,1.0,0.6433556312205635,0.00442639826329827
Pointing,2.9095194001849123e-06,0.6433556312205635,1.0,3.525796868142361e-05
Label,0.958360637874465,0.00442639826329827,3.525796868142361e-05,1.0
