,SR,P+SR,Pointing,Label
SR,1.0,1.578308846372778e-05,3.525796868142361e-05,0.999937328318897
P+SR,1.578308846372778e-05,1.0,0.9983236344681092,1.1999057032086036e-05
Pointing,3.525796868142361e-05,0.9983236344681092,1.0,2.705508701483783e-05
Label,0.999937328318897,1.1999057032086036e-05,2.705508701483783e-05,1.0
