,SR,P+SR,Pointing,Label
SR,1.0,8.861582918573419e-07,0.00041946996397446146,0.9796722101651225
P+SR,8.861582918573419e-07,1.0,0.5720282020294645,6.871204181746471e-06
Pointing,0.00041946996397446146,0.5720282020294645,1.0,0.001966123011488796
Label,0.9796722101651225,6.871204181746471e-06,0.001966123011488796,1.0
