participant,condition,file,taskId,finalId,T_task_sec,N_cmds,n_devices_required,n_colors_required,device_arrange_id
1,SR,1_A.json,8aeed698-e7ee-41ef-bfe7-56f37e2232ab,66c33021-0e36-40aa-a576-4d45ea98041a,92.1722946,3,3,,
1,SR,1_A.json,137e922c-0877-46af-a797-5a32df2edf5d,22d71126-0c2c-430a-bad6-59f7e751750d,94.04735,3,3,,
1,SR,1_A.json,f548cabb-2a47-4399-a702-f76d5d1336df,5a1e626b-bda7-4a47-b93c-55081f4c5bda,31.2542667,2,2,,
1,SR,1_A.json,81c1a60b-c8ac-4a16-b831-1df68863e61e,70f9ba92-b65e-4a92-afa3-c04286a2368a,84.8167953,3,3,,
1,SR,1_A.json,c87d383c-41db-4303-8615-9271bbf2465e,aef884b6-7c14-4a84-9848-ada3874fbbc3,57.0979958,2,2,,
1,SR,1_A.json,e2dc0c9a-3e6f-40a4-b8c5-7289c1efe296,19b2c3d6-b594-4edd-a7cb-9d76cce97774,29.4735222,1,1,,
1,SR,1_A.json,7cbd6f03-54a0-426f-b4ea-d8e0ce58e276,b00aa10c-338c-4265-9397-df29fb9d355b,50.60276,2,2,,
1,SR,1_A.json,eee4a904-a6ad-4369-970f-b656e1f59f12,a157cfcb-94fe-4198-af20-cf37ed7b9539,46.11376,2,2,,
10,P+SR,2_A.json,fe0ef0b0-c647-4b3a-b2f6-68a75133a566,1c733ef3-f314-447d-b183-d7420a4927be,10.0790071,1,1,,
10,P+SR,2_A.json,d58fe3c1-28a0-4e49-9e2f-e72569f6e61e,a8d6655b-dd5e-496f-aa4f-38a7654156b1,43.500927,3,4,,
10,P+SR,2_A.json,8aeed698-e7ee-41ef-bfe7-56f37e2232ab,e7071317-0c83-43e4-a6cc-c77da89311f8,26.4523144,1,3,,
10,P+SR,2_A.json,2369c5c0-c4bb-4308-a9cd-05a64a69f91a,40ba15bd-25e6-416a-a10c-5ad273eca798,37.3018036,1,6,,
10,P+SR,2_A.json,e2dc0c9a-3e6f-40a4-b8c5-7289c1efe296,2bab026c-1738-49f0-9ff1-da835c008934,10.8414,1,1,,
10,P+SR,2_A.json,7cbd6f03-54a0-426f-b4ea-d8e0ce58e276,2f306777-fbbb-4039-9c2f-0dc354509ab9,14.2941618,1,2,,
10,P+SR,2_A.json,0ebd3226-6abe-4b54-8d2f-6c4c8adc1978,07d7375a-2e4e-49e1-ad3c-b1de7673bd07,15.6493149,1,2,,
10,P+SR,2_A.json,137e922c-0877-46af-a797-5a32df2edf5d,45044bdc-c47c-4d96-80eb-30a942ec49be,138.842117,4,3,,
10,P+SR,2_A.json,f548cabb-2a47-4399-a702-f76d5d1336df,f818413c-5f30-498a-9827-630b7fe12c04,17.7508488,1,2,,
10,P+SR,2_A.json,81c1a60b-c8ac-4a16-b831-1df68863e61e,a6f66b22-2e72-4d71-9b9c-835ad324a570,32.89805,1,3,,
10,P+SR,2_A.json,c87d383c-41db-4303-8615-9271bbf2465e,2219462d-2a9c-4a45-b92e-cc4b6c2cb5ce,53.6768456,1,2,,
10,P+SR,2_A.json,eee4a904-a6ad-4369-970f-b656e1f59f12,606dedc6-4c07-47a3-9ce1-66ffd07d5dbb,24.0876369,1,2,,
