participant,condition,T_task_sec,N_cmds,n_devices_required,n_colors_required
13,Label,70.8556747,1,2,
13,Label,59.0212822,3,3,
13,Label,93.90537,4,4,
13,Label,105.800957,5,3,
13,Label,90.78726,2,6,
13,Label,26.5398769,1,3,
13,Label,44.9112053,2,4,
13,Label,107.742485,5,6,
13,Label,29.5866337,1,1,
13,Label,83.66895,3,3,
13,Label,29.6899452,1,1,
13,P+SR,119.530083,1,9,
13,P+SR,79.48905,1,3,
13,P+SR,60.8537445,1,3,
13,P+SR,60.9762421,1,4,
13,P+SR,74.75196,1,2,
13,P+SR,68.97535,1,4,
13,P+SR,38.7444229,1,4,
13,P+SR,61.84543,1,1,
13,P+SR,39.3822174,1,4,
13,P+SR,26.6808071,1,1,
13,P+SR,55.71344,1,2,
13,P+SR,44.3558235,1,3,
13,Pointing,58.438385,1,1,
13,Pointing,88.26167,3,4,
13,Pointing,79.28168,3,3,
13,Pointing,28.5207138,1,1,
13,Pointing,81.53101,3,3,
13,Pointing,97.68423,3,3,
13,Pointing,40.26937,1,2,
13,Pointing,74.94768,2,6,
13,Pointing,38.75392,2,2,
13,Pointing,52.9181976,2,2,
13,Pointing,41.66402,2,2,
13,Pointing,34.0765457,1,2,
13,SR,62.6025162,1,3,
13,SR,152.570572,2,3,
13,SR,348.812225,4,1,
13,SR,159.822174,2,2,
13,SR,329.857849,5,3,
13,SR,238.5165,4,4,
13,SR,289.322876,1,6,
13,SR,199.344757,3,4,
13,SR,235.892532,2,5,
13,SR,45.52027,1,2,
13,SR,39.7584038,1,2,
13,SR,84.12878,2,2,
14,P+SR,100.597847,1,2,
14,P+SR,27.1963673,1,1,
14,P+SR,30.1190357,1,2,
14,P+SR,40.10807,1,1,
14,P+SR,30.5592213,1,2,
14,P+SR,170.529068,5,4,
14,P+SR,18.8341389,1,1,
14,P+SR,55.9302864,2,2,
14,P+SR,34.063694,1,3,
14,P+SR,71.0810547,3,3,
14,P+SR,42.60386,2,2,
14,P+SR,36.47168,1,6,
14,Label,51.9151764,3,2,
14,Label,23.0088444,1,4,
14,Label,57.58491,3,1,
14,Label,24.0278473,1,3,
14,Label,145.150848,4,7,
14,Label,18.6438885,1,2,
14,Label,186.325256,9,4,
14,Label,14.0591888,1,1,
14,Label,33.5753441,1,6,
14,Label,34.432373,1,3,
14,Label,15.3291969,1,3,
14,Label,56.605587,2,7,
14,Pointing,34.63483,2,2,
14,Pointing,27.66438,1,2,
14,Pointing,35.1823654,2,6,
14,Pointing,13.0519724,1,3,
14,Pointing,11.2460613,1,1,
14,Pointing,27.0212173,2,3,
14,Pointing,22.1702137,2,2,
14,Pointing,34.4443626,2,4,
14,Pointing,48.4562721,4,3,
14,Pointing,22.3042622,2,4,
14,Pointing,12.1850758,1,2,
14,Pointing,17.38456,2,3,
14,SR,41.7676277,1,1,
14,SR,66.66119,4,3,
14,SR,84.92883,6,4,
14,SR,147.7704,6,9,
14,SR,93.83972,5,4,
14,SR,70.22119,4,2,
14,SR,146.6066,10,3,
14,SR,50.1559563,3,3,
14,SR,18.046587,1,1,
14,SR,82.49326,3,4,
14,SR,40.8471146,2,5,
