condition,SUS_median,SUS_mean,SUS_sd,SUS_n,TAM_Total_median,TAM_Total_mean,TAM_Total_sd,TAM_Total_n,TPA_Total_median,TPA_Total_mean,TPA_Total_sd,TPA_Total_n,NASA_Overall_median,NASA_Overall_mean,NASA_Overall_sd,NASA_Overall_n,N_actuations_median,N_cmds_median,T_task_sec_median,N_actuations_mean,N_cmds_mean,T_task_sec_mean,N_actuations_sd,N_cmds_sd,T_task_sec_sd,logT_mean,logT_median
SR,52.5,50.9375,13.609709210067962,24.0,4.291666666666666,4.215277777777778,1.0358654887527867,24.0,4.083333333333334,4.298611111111112,1.1818158944495505,24.0,11.25,11.131944444444445,2.806987126988456,24.0,4.0,2.0,63.105976,4.913043478260869,2.065217391304348,76.39101124999999,2.489305187437959,0.9207747210672768,35.35030279210944,4.335865035454913,4.14481547187734
P+SR,83.75,80.52083333333333,14.57699137463667,24.0,6.0,5.940972222222221,0.8403613664656336,24.0,6.041666666666666,6.0243055555555545,0.696557774699532,24.0,4.5,5.395833333333333,2.998313737036284,24.0,3.0,1.0,37.32970045,3.1739130434782608,1.1521739130434785,39.03488720869566,1.2757234636594348,0.4630624984495674,14.263984020850652,3.6644557900764863,3.619789268517121
Pointing,76.25,78.33333333333333,13.62675331093586,24.0,5.5,5.513888888888888,0.8557374798736747,24.0,6.125,6.125,0.7554152327780023,24.0,5.583333333333334,6.340277777777779,2.7028698143814407,24.0,5.0,2.0,34.54595125,4.521739130434782,2.0217391304347827,35.17375840217392,1.016659647052377,0.1042572070285373,9.855336506138055,3.560300304642545,3.542290358108168
Label,42.5,47.91666666666666,16.805580508625226,24.0,3.833333333333333,4.027777777777778,1.3027902670311808,24.0,4.791666666666666,4.916666666666667,1.11261974875247,24.0,10.75,10.284722222222223,3.69504145043745,24.0,3.5,1.5,51.54772565,4.326086956521739,1.673913043478261,54.09209941304347,1.3366230825562362,0.6843825294674872,17.160900349756126,3.990688138460557,3.942508090188035
