section,table,scale,subscale,condition,median,iqr,mean,sd,n,ci_low_med,ci_high_med,chi2,df,p,kendalls_W,k,row_cond,col_cond,p_adj,alpha,winner,loser
Descriptive,nasa_performance,NASA-TLX,Performance,Label,7.0,7.0,8.166666666666666,4.7882706932549315,24.0,5.0,11.0,,,,,,,,,,,
Descriptive,nasa_effort,NASA-TLX,Effort,SR,15.0,9.25,13.083333333333334,5.380453081508921,24.0,11.0,16.012499999999818,,,,,,,,,,,
Descriptive,nasa_effort,NASA-TLX,Effort,P+SR,6.5,5.0,7.25,3.813591255086151,24.0,5.0,10.0,,,,,,,,,,,
Descriptive,nasa_effort,NASA-TLX,Effort,Pointing,7.0,5.5,7.583333333333333,3.729047747273998,24.0,5.0,10.0,,,,,,,,,,,
Descriptive,nasa_effort,NASA-TLX,Effort,Label,15.0,5.25,14.25,5.143590354910705,24.0,13.0,17.0,,,,,,,,,,,
Descriptive,nasa_frustration,NASA-TLX,Frustration,SR,11.5,7.0,11.791666666666666,4.442670237658846,24.0,9.0,15.0,,,,,,,,,,,
Descriptive,nasa_frustration,NASA-TLX,Frustration,P+SR,4.0,4.25,4.875,3.6153356931152385,24.0,2.0,5.5,,,,,,,,,,,
Descriptive,nasa_frustration,NASA-TLX,Frustration,Pointing,6.0,7.0,6.291666666666667,3.758806085501858,24.0,3.5,9.0,,,,,,,,,,,
Descriptive,nasa_frustration,NASA-TLX,Frustration,Label,12.0,7.5,11.166666666666666,5.138657130170223,24.0,8.0,13.0,,,,,,,,,,,
Inferential,friedman_summary,SUS,Total,,,,,,24.0,,,44.19230769230773,3.0,1.3736919752982764e-09,0.6137820512820518,4.0,,,,,,
Inferential,nemenyi_adjusted_p,SUS,Total,,,,,,,,,,,,,,SR,SR,1.0,,,
Inferential,nemenyi_adjusted_p,SUS,Total,,,,,,,,,,,,,,P+SR,SR,1.578308846372778e-05,,,
Inferential,nemenyi_adjusted_p,SUS,Total,,,,,,,,,,,,,,Pointing,SR,3.525796868142361e-05,,,
Inferential,nemenyi_adjusted_p,SUS,Total,,,,,,,,,,,,,,Label,SR,0.999937328318897,,,
Inferential,nemenyi_adjusted_p,SUS,Total,,,,,,,,,,,,,,SR,P+SR,1.578308846372778e-05,,,
Inferential,nemenyi_adjusted_p,SUS,Total,,,,,,,,,,,,,,P+SR,P+SR,1.0,,,
Inferential,nemenyi_adjusted_p,SUS,Total,,,,,,,,,,,,,,Pointing,P+SR,0.9983236344681092,,,
Inferential,nemenyi_adjusted_p,SUS,Total,,,,,,,,,,,,,,Label,P+SR,1.1999057032086036e-05,,,
Inferential,nemenyi_adjusted_p,SUS,Total,,,,,,,,,,,,,,SR,Pointing,3.525796868142361e-05,,,
Inferential,nemenyi_adjusted_p,SUS,Total,,,,,,,,,,,,,,P+SR,Pointing,0.9983236344681092,,,
Inferential,nemenyi_adjusted_p,SUS,Total,,,,,,,,,,,,,,Pointing,Pointing,1.0,,,
Inferential,nemenyi_adjusted_p,SUS,Total,,,,,,,,,,,,,,Label,Pointing,2.705508701472681e-05,,,
Inferential,nemenyi_adjusted_p,SUS,Total,,,,,,,,,,,,,,SR,Label,0.999937328318897,,,
Inferential,nemenyi_adjusted_p,SUS,Total,,,,,,,,,,,,,,P+SR,Label,1.1999057032086036e-05,,,
Inferential,nemenyi_adjusted_p,SUS,Total,,,,,,,,,,,,,,Pointing,Label,2.705508701472681e-05,,,
Inferential,nemenyi_adjusted_p,SUS,Total,,,,,,,,,,,,,,Label,Label,1.0,,,
Inferential,nemenyi_significant_pairs,SUS,Total,,,,,,,,,,,,,,,,,≤.01,SR,P+SR
Inferential,nemenyi_significant_pairs,SUS,Total,,,,,,,,,,,,,,,,,≤.01,SR,Pointing
Inferential,nemenyi_significant_pairs,SUS,Total,,,,,,,,,,,,,,,,,≤.01,P+SR,Label
