section,table,metric,friedman_chi2,friedman_p,N,condition,median,Q1,Q3,mean,sd,pair,n,W,p_raw,p_holm,effect_r,term,beta,ci_low,ci_high,pct_change,IRR,IRR_low,IRR_high,family,est,se,z,IRR_ratio,beta_reduced,beta_full,shrink,colors,est_logT,time_ratio_PSR/Pointing,y,x,rho,p,key,value
Friedman/Wilcoxon,pairwise_wilcoxon_holm,N_actuations,,,,,,,,,,SR vs Label,23.0,80.5,0.5559278373185512,1.0,0.36466247874473645,,,,,,,,,,,,,,,,,,,,,,,,,
Friedman/Wilcoxon,pairwise_wilcoxon_holm,N_actuations,,,,,,,,,,P+SR vs Pointing,23.0,18.5,0.001983812456991301,0.009919062284956504,0.7578637601738436,,,,,,,,,,,,,,,,,,,,,,,,,
Friedman/Wilcoxon,pairwise_wilcoxon_holm,N_actuations,,,,,,,,,,P+SR vs Label,23.0,20.0,0.00142691290418053,0.00856147742508318,0.74835082594572,,,,,,,,,,,,,,,,,,,,,,,,,
Friedman/Wilcoxon,pairwise_wilcoxon_holm,N_actuations,,,,,,,,,,Pointing vs Label,23.0,103.5,0.45326804625563644,1.0,0.2187974872468419,,,,,,,,,,,,,,,,,,,,,,,,,
Models,mixedlm_logT_fixed_effects,,,,,,,,,,,,,,,,,Intercept,1.2693519537627405e-17,,,0.0,,,,,,,,,,,,,,,,,,,,
Models,mixedlm_logT_fixed_effects,,,,,,,,,,,,,,,,,C(condition)[T.P+SR],-0.27033323821416655,-0.389780481226152,-0.1508859952021811,-23.687485050150748,,,,,,,,,,,,,,,,,,,,
Models,mixedlm_logT_fixed_effects,,,,,,,,,,,,,,,,,C(condition)[T.Pointing],-0.3812139923555018,-0.50061740910996,-0.2618105756010436,-31.696828958475287,,,,,,,,,,,,,,,,,,,,
Models,mixedlm_logT_fixed_effects,,,,,,,,,,,,,,,,,C(condition)[T.SR],0.3323131706091684,0.21268555158269448,0.45194078963564227,39.41893992949848,,,,,,,,,,,,,,,,,,,,
Models,mixedlm_logT_fixed_effects,,,,,,,,,,,,,,,,,n_devices_required_c,0.019738789123935587,-0.03550614223832928,0.07498372048620044,1.9934887142676105,,,,,,,,,,,,,,,,,,,,
Models,mixedlm_logT_fixed_effects,,,,,,,,,,,,,,,,,n_devices_required_c:C(condition)[T.P+SR],0.043826826602543376,-0.03079575609199063,0.11844940929707738,4.480140741186234,,,,,,,,,,,,,,,,,,,,
Models,mixedlm_logT_fixed_effects,,,,,,,,,,,,,,,,,n_devices_required_c:C(condition)[T.Pointing],0.025550381235802794,-0.046366702327680545,0.09746746479928613,2.587959005001883,,,,,,,,,,,,,,,,,,,,
Models,mixedlm_logT_fixed_effects,,,,,,,,,,,,,,,,,n_devices_required_c:C(condition)[T.SR],0.08439528883612496,0.017584420908742043,0.15120615676350788,8.805890635237535,,,,,,,,,,,,,,,,,,,,
Models,mixedlm_logT_fixed_effects,,,,,,,,,,,,,,,,,n_colors_required_c,0.3300753098232681,0.2635146069066957,0.3966360127398405,39.107288597229164,,,,,,,,,,,,,,,,,,,,
Models,mixedlm_logT_fixed_effects,,,,,,,,,,,,,,,,,Group Var,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,
Models,gee_ncmds_coefficients,,,,,,,,,,,,,,,,,Intercept,0.6901856340180886,0.56843300558223,0.8119382624539473,,1.994085669022277,1.765498356666172,2.252269247595733,Poisson,,,,,,,,,,,,,,,,
Models,gee_ncmds_coefficients,,,,,,,,,,,,,,,,,C(condition)[T.P+SR],-0.3543136631297015,-0.551061910667166,-0.15756541559223688,,0.7016548495796942,0.5763374664072655,0.8542209324125537,Poisson,,,,,,,,,,,,,,,,
Models,gee_ncmds_coefficients,,,,,,,,,,,,,,,,,C(condition)[T.Pointing],-0.025588960432822244,-0.16198499236383387,0.11080707149818939,,0.9747356622022211,0.8504539677481839,1.1171793503233158,Poisson,,,,,,,,,,,,,,,,
Models,gee_ncmds_coefficients,,,,,,,,,,,,,,,,,C(condition)[T.SR],0.1516032331109053,0.014923535793815695,0.2882829304279949,,1.1636984278179374,1.015035447768539,1.3341347180367038,Poisson,,,,,,,,,,,,,,,,
Models,gee_ncmds_coefficients,,,,,,,,,,,,,,,,,n_devices_required_c,0.03974060950593537,0.006072900596897787,0.07340831841497296,,1.040540832783074,1.0060913780426881,1.0761698671896913,Poisson,,,,,,,,,,,,,,,,
Models,gee_ncmds_coefficients,,,,,,,,,,,,,,,,,n_devices_required_c:C(condition)[T.P+SR],0.011381022235246582,-0.03650212982003545,0.05926417429052862,,1.011446032462336,0.964156040415285,1.0610555073047723,Poisson,,,,,,,,,,,,,,,,
Models,gee_ncmds_coefficients,,,,,,,,,,,,,,,,,n_devices_required_c:C(condition)[T.Pointing],0.026282888819100857,-0.016163559984527707,0.06872933762272943,,1.0266313299232468,0.9839663693689483,1.0711462509190464,Poisson,,,,,,,,,,,,,,,,
Models,gee_ncmds_coefficients,,,,,,,,,,,,,,,,,n_devices_required_c:C(condition)[T.SR],0.037653392574676064,-0.00045028683013978443,0.07575707197949191,,1.038371263307933,0.99954981453376,1.078700495749325,Poisson,,,,,,,,,,,,,,,,
Models,gee_ncmds_coefficients,,,,,,,,,,,,,,,,,n_colors_required_c,0.28206306641844114,0.23210527740086076,0.3320208554360215,,1.325862334738921,1.2612525032245037,1.3937819161389866,Poisson,,,,,,,,,,,,,,,,
Models,gee_pairwise_contrasts,,,,,,,,,,,SR vs P+SR,,,9.915743559574253e-09,5.9494461357445516e-08,,,,,,,,,,,0.5059168962406068,0.0882593227642498,5.7321638144897795,1.6585055009810263,,,,,,,,,,,,
Models,gee_pairwise_contrasts,,,,,,,,,,,SR vs Pointing,,,0.012233899955661265,0.036701699866983795,,,,,,,,,,,0.17719219354372753,0.07072623688061719,2.5053247756249246,1.1938605233636292,,,,,,,,,,,,
Models,gee_pairwise_contrasts,,,,,,,,,,,SR vs Label,,,0.029707764551672566,0.05941552910334513,,,,,,,,,,,0.1516032331109053,0.06973582085956763,2.1739649901906275,1.1636984278179374,,,,,,,,,,,,
Models,gee_pairwise_contrasts,,,,,,,,,,,P+SR vs Pointing,,,5.635307258611277e-07,2.8176536293056387e-06,,,,,,,,,,,-0.32872470269687926,0.06570139522779682,-5.003313880278193,0.7198411598016684,,,,,,,,,,,,
Models,gee_pairwise_contrasts,,,,,,,,,,,P+SR vs Label,,,0.000416193147142474,0.001664772588569896,,,,,,,,,,,-0.3543136631297015,0.10038360351995734,-3.529596973068018,0.7016548495796942,,,,,,,,,,,,
Models,gee_pairwise_contrasts,,,,,,,,,,,Pointing vs Label,,,0.7130935512754935,0.7130935512754935,,,,,,,,,,,-0.025588960432822244,0.06959109096232692,-0.3677045449204814,0.9747356622022211,,,,,,,,,,,,
Models,mediation_hint,,,,,,,,,,,,,,,,,C(condition)[T.P+SR],,,,,,,,,,,,,-0.2700701269094212,-0.13176964232127072,0.5120910119560728,,,,,,,,,
Models,mediation_hint,,,,,,,,,,,,,,,,,C(condition)[T.Pointing],,,,,,,,,,,,,-0.379543563601754,-0.3729886146940957,0.01727061011245665,,,,,,,,,
Models,mediation_hint,,,,,,,,,,,,,,,,,C(condition)[T.SR],,,,,,,,,,,,,0.338743124987643,0.2489770092086538,0.26499760189159194,,,,,,,,,
Models,mixedlm_logT_robust_trim1pct,,,,,,,,,,,,,,,,,Intercept,1.2959118330692275e-17,,,0.0,,,,,,,,,,,,,,,,,,,,
Models,mixedlm_logT_robust_trim1pct,,,,,,,,,,,,,,,,,C(condition)[T.P+SR],-0.2705127458513746,-0.38940556822718003,-0.15161992347556913,-23.70118249996359,,,,,,,,,,,,,,,,,,,,
Models,mixedlm_logT_robust_trim1pct,,,,,,,,,,,,,,,,,C(condition)[T.Pointing],-0.38087889556519183,-0.4997280951053404,-0.2620296960250433,-31.673936949786164,,,,,,,,,,,,,,,,,,,,
Models,mixedlm_logT_robust_trim1pct,,,,,,,,,,,,,,,,,C(condition)[T.SR],0.32521598932664486,0.20614362816107196,0.44428835049221777,38.432961411383324,,,,,,,,,,,,,,,,,,,,
Models,mixedlm_logT_robust_trim1pct,,,,,,,,,,,,,,,,,n_devices_required_c,0.02012074323130355,-0.03486776588780821,0.07510925235041531,2.03245298701511,,,,,,,,,,,,,,,,,,,,
Models,mixedlm_logT_robust_trim1pct,,,,,,,,,,,,,,,,,n_devices_required_c:C(condition)[T.P+SR],0.043225860354574604,-0.031050357712968844,0.11750207842211804,4.4173705662851726,,,,,,,,,,,,,,,,,,,,
Models,mixedlm_logT_robust_trim1pct,,,,,,,,,,,,,,,,,n_devices_required_c:C(condition)[T.Pointing],0.025402329732899052,-0.0461809469195493,0.0969856063853474,2.572771827761322,,,,,,,,,,,,,,,,,,,,
Models,mixedlm_logT_robust_trim1pct,,,,,,,,,,,,,,,,,n_devices_required_c:C(condition)[T.SR],0.08362674115695914,0.017125979373225936,0.15012750294069235,8.72230024622449,,,,,,,,,,,,,,,,,,,,
Models,mixedlm_logT_robust_trim1pct,,,,,,,,,,,,,,,,,n_colors_required_c,0.3285122340770273,0.26226047615010095,0.3947639920039536,38.89002321365862,,,,,,,,,,,,,,,,,,,,
Models,mixedlm_logT_robust_trim1pct,,,,,,,,,,,,,,,,,Group Var,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,
Models,mixedlm_logT_color_interaction,,,,,,,,,,,,,,,,,Intercept,1.2174199431412625e-17,,,0.0,,,,,,,,,,,,,,,,,,,,
Models,mixedlm_logT_color_interaction,,,,,,,,,,,,,,,,,C(condition)[T.P+SR],-0.270308820045023,-0.38964457735691543,-0.15097306273313055,-23.685621615502185,,,,,,,,,,,,,,,,,,,,
Models,mixedlm_logT_color_interaction,,,,,,,,,,,,,,,,,C(condition)[T.Pointing],-0.38207609501714057,-0.5013389823200674,-0.2628132077142138,-31.75568792914547,,,,,,,,,,,,,,,,,,,,
Models,mixedlm_logT_color_interaction,,,,,,,,,,,,,,,,,C(condition)[T.SR],0.3307565410359382,0.21126307918749154,0.4502500028843849,39.20208510963698,,,,,,,,,,,,,,,,,,,,
Models,mixedlm_logT_color_interaction,,,,,,,,,,,,,,,,,n_devices_required_c,0.012126349198945174,-0.0494010038900431,0.07365370228793344,1.2200171467812604,,,,,,,,,,,,,,,,,,,,
Models,mixedlm_logT_color_interaction,,,,,,,,,,,,,,,,,n_devices_required_c:C(condition)[T.P+SR],0.05141556767239425,-0.035388266120488676,0.13821940146527717,5.276029553739625,,,,,,,,,,,,,,,,,,,,
Models,mixedlm_logT_color_interaction,,,,,,,,,,,,,,,,,n_devices_required_c:C(condition)[T.Pointing],0.02158386586190697,-0.06028156944032205,0.10344930116413599,2.181848243175266,,,,,,,,,,,,,,,,,,,,
Models,mixedlm_logT_color_interaction,,,,,,,,,,,,,,,,,n_devices_required_c:C(condition)[T.SR],0.10036670190634334,0.026221023560177498,0.17451238025250917,10.557626067355063,,,,,,,,,,,,,,,,,,,,
Models,mixedlm_logT_color_interaction,,,,,,,,,,,,,,,,,n_colors_required_c,0.364767176444776,0.22524776332876673,0.5042865895607853,44.01786615962931,,,,,,,,,,,,,,,,,,,,
Models,mixedlm_logT_color_interaction,,,,,,,,,,,,,,,,,n_colors_required_c:C(condition)[T.P+SR],-0.03448966739127546,-0.23088221289434763,0.1619028781117967,-3.39016780491298,,,,,,,,,,,,,,,,,,,,
Models,mixedlm_logT_color_interaction,,,,,,,,,,,,,,,,,n_colors_required_c:C(condition)[T.Pointing],0.02863105563053525,-0.16384142559888404,0.22110353685995454,2.9044864121205993,,,,,,,,,,,,,,,,,,,,
Models,mixedlm_logT_color_interaction,,,,,,,,,,,,,,,,,n_colors_required_c:C(condition)[T.SR],-0.11919954438047653,-0.3064096502522336,0.06801056149128054,-11.236933862146314,,,,,,,,,,,,,,,,,,,,
Models,contrast_PSR_vs_Pointing_by_colors,,,,,,,,,,,,,,0.11160270946308715,0.28503384385453945,,,,,,,,,,,,0.1040347190683765,1.5910305108462797,,,,,1.0,0.16552241222510825,1.1800094090596038,,,,,,
Models,contrast_PSR_vs_Pointing_by_colors,,,,,,,,,,,,,,0.09501128128484648,0.28503384385453945,,,,,,,,,,,,0.06133543317306957,1.6695355996647445,,,,,2.0,0.10240168920329756,1.1078283850648962,,,,,,
Models,contrast_PSR_vs_Pointing_by_colors,,,,,,,,,,,,,,0.7540897597060177,0.7540897597060177,,,,,,,,,,,,0.12539762286244768,0.3132512824790568,,,,,3.0,0.03928096618148683,1.040062665037194,,,,,,
Within-subject,spearman_centered,,,,1139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,logT_w,dev_w,0.4229979785227706,1.179894860491158e-50,,
Within-subject,spearman_centered,,,,1139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,logT_w,col_w,0.43698048129985056,2.6019718230014388e-54,,
Within-subject,variation_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,devices_unique_values,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 19]"
Within-subject,variation_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,colors_unique_values,"[1, 2, 3]"
